,content
487,  autorisant l'approbation de la convention d'entraide judiciaire en matiere civile et commerciale entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique orientale de l'Uruguay
488,
489, AUTORISANT L'APPROBATION D'UNE CONVENTION D'EXTRADITION ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE L'AUSTRALIE
490,UTORISANT L'APPROBATION D'UNE CONVENTION D'EXTRADITION ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DU CANADA
491, D'UNE CONVENTION D'ASSISTANCE ADMINISTRATIVE MUTUELLE EN MATIERE DOUANIERE ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE LA REPUBLIQUE DE FINLANDE
492, d'une convention d'assistance administrative mutuelle en matiere douaniere entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique democratique de Madagascar
493," d'une convention d'assistance administrative mutuelle en vue de prevenir, de rechercher et de reprimer les infractions douanieres entre le Gouvernement de la Republique francaise et le Gouvernement du Royaume du Maroc"
494," autorisant l'approbation d'un avenant a la convention entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique du Senegal tendant a eviter les doubles impositions et a etablir des regles d'assistance reciproque en matiere d'impots sur le revenu, d'impots sur les successions, de droits d'enregistrement et de droits de timbre, signee le 29 mars 1974 et modifiee par l'avenant du 16 juillet 1984"
495, autorisant l'approbation d'une convention entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique d'Islande en vue d'eviter les doubles impositions et de prevenir l'evasion fiscale en matiere d'impots sur le revenu (ensemble un protocole)
496,oi  AUTORISANT L'APPROBATION D'UN AMENDEMENT A L'ARTICLE XI DE LA CONVENTION SUR LE COMMERCE INTERNATIONAL DES ESPECES DE FAUNE ET DE FLORE SAUVAGES MENACEES D'EXTINCTION
497,
498,ORISANT L'APPROBATION D'UNE CONVENTION EUROPEENNE POUR LA PREVENTION DE LA TORTURE ET DES PEINES OU TRAITEMENTS INHUMAINS OU DEGRADANTS
499,i  PORTANT APPROBATION DE LA CONVENTION FISCALE ENTRE L'ETAT ET LA COLLECTIVITE TERRITORIALE DE SAINT-PIERRE-ET-MIQUELON
500, de la convention entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique federale du Nigeria en vue d'eviter les doubles impositions et de prevenir l'evasion fiscale en matiere d'impots sur le revenu et sur les gains en capital (ensemble un protocole)
501,
502,"SANT L'APPROBATION DE L'AVENANT D'UNE CONVENTION FISCALE DU 28 JUILLET 1967 ENTRE LA REPUBLIQUE FRANCAISE ET LES ETATS-UNIS D'AMERIQUE EN MATIERE D'IMPOTS SUR LE REVENU ET LA FORTUNE, FAIT A PARIS LE 16 JUIN 1988"
503,RISANT L'APPROBATION D'UNE CONVENTION ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE LA REPUBLIQUE ALGERIENNE DEMOCRATIQUE ET POPULAIRE RELATIVE AUX ENFANTS ISSUS DE COUPLES MIXTES SEPARES FRANCO-ALGERIENS
504,oi  autorisant l'approbation d'un avenant modifiant la convention entre le Gouvernement de la Republique francaise et le Gouvernement de l'Australie tendant a eviter les doubles impositions et a prevenir l'evasion fiscale en matiere d'impots sur le revenu
505," D'UNE CONVENTION ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE LA REPUBLIQUE POPULAIRE DU CONGO EN VUE D'EVITER LES DOUBLES IMPOSITIONS ET DE PREVENIR L'EVASION FISCALE EN MATIERE D'IMPOTS SUR LE REVENU, D'IMPOTS SUR LES SUCCESSIONS, DE DROITS D'ENREGISTREMENT ET DE DROITS DE TIMBRE (ENSEMBLE UN PROTOCOLE)"
506,sant l'approbation d'un avenant a la convention du 19 juin 1979 entre le gouvernement de la Republique francaise et le Gouvernement de la Republique de Coree tendant a eviter les doubles impositions et a prevenir l'evasion fiscale en matiere d'impots sur le revenu
507, d'une convention entre le Gouvernement de la Republique francaise et le Gouvernement des Emirats Arabes Unis en vue d'eviter les doubles impositions
508, de la convention entre le gouvernement de la Republique francaise et le gouvernement de la Republique equatorienne en vue d'eviter la double imposition et de prevenir l'evasion fiscale en matiere d'impots sur le revenu (ensemble un protocole)
509, d'une convention entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique italienne en vue d'eviter les doubles impositions en matiere d'impot sur le revenu et sur la fortune et de prevenir l'evasion et la fraude fiscales (ensemble un protocole et un echange de lettres)
510,utorisant l'approbation de la convention entre le gouvernement de la Republique francaise et le gouvernement de la Republique italienne en vue d'eviter les doubles impositions en matiere d'impots sur les successions et sur les donations et de prevenir l'evasion et la fraude fiscales (ensemble un protocole)
511, d'un avenant a la convention du 7 fevrier 1982 entre le Gouvernement de la Republique francaise et le Gouvernement de l'Etat du Koweit en vue d'eviter les doubles impositions en matiere d'impots sur le revenu et sur les successions
512,
513,"utorisant l'approbation d'une convention entre le Gouvernement de la Republique francaise et le Gouvernement de Maurice relative a l'assistance administrative mutuelle internationale en vue de prevenir, rechercher et reprimer les infractions douanieres"
514,  autorisant l'approbation de la convention entre le Gouvernement de la Republique francaise et le Gouvernement des Etats-Unis du Mexique en vue d'eviter les doubles impositions et de prevenir l'evasion fiscale en matiere d'impots sur le revenu
515,
516, d'une convention entre le Gouvernement de la Republique francaise et le Gouvernement du Sultanat d'Oman en vue d'eviter les doubles impositions (ensemble un echange de lettres)
517,  autorisant l'approbation de la convention entre le Gouvernement de la Republique francaise et le Gouvernement de l'Etat du Qatar en vue d'eviter les doubles impositions
518,"autorisant l'approbation de la convention entre le Gouvernement de la Republique francaise et le Gouvernement du Royaume de Suede en vue d'eviter les doubles impositions et de prevenir l'evasion fiscale en matiere d'impots sur le revenu et sur la fortune (ensemble un protocole), completee par un echange de lettres des 14 et 18 mars 1991"
519, D'UNE CONVENTION ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE CONSEIL FEDERAL SUISSE RELATIVE A LA RECONNAISSANCE RECIPROQUE DES POINCONS OFFICIELS APPOSES SUR LES OUVRAGES EN METAUX PRECIEUX
520,
521,
522,on de la convention concernant la competence judiciaire et l'execution des decisions en matiere civile et commerciale (ensemble trois protocoles et trois declarations)
523,orisant l'approbation de la convention de cooperation judiciaire entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique argentine
524,"risant l'approbation de la convention entre le Gouvernement de la Republique francaise et le Gouvernement des Emirats arabes unis relative a l'entraide judiciaire, la reconnaissance et l'execution des decisions en matiere civile et commerciale"
525,on d'un protocole additionnel no 4 a la convention revisee pour la navigation du Rhin (ensemble une declaration)
526,SANT L'APPROBATION D'UNE CONVENTION PORTANT CREATION D'UN RESEAU INTERNATIONAL POUR L'AMELIORATION DE LA PRODUCTION DE LA BANANE ET DE LA BANANE PLANTAIN (INIBAP)
527,
528,NT L'APPROBATION D'UNE CONVENTION INTERNATIONALE SUR LA PROTECTION PHYSIQUE DES MATIERES NUCLEAIRES
529,autorisant la ratification de la convention relative aux droits de l'enfant
530,
531,autorisant l'approbation de la convention pour la repression d'actes illicites contre la securite de la navigation maritime
532, autorisant l'approbation d'une convention sur l'affacturage international
533,sant la ratification de la convention internationale du travail no 138 concernant l'age minimum d'admission a l'emploi
534,"i  AUTORISANT LA RATIFICATION D'UNE CONVENTION PORTANT CREATION DE L'AGENCE MULTILATERALE DE GARANTIE DES INVESTISSEMENTS (ENSEMBLE DEUX ANNEXES ET DEUX APPENDICES) FAITE A SEOUL LE 11 OCTOBRE 1985 ET DE LA RESOLUTION ADOPTEE A WASHINGTON LE 30 OCTOBRE 1987, SIGNEE PAR LA FRANCE LE 22 JUILLET 1986"
535,AUTORISANT LA RATIFICATION DE LA CONVENTION INTERNATIONALE DU TRAVAIL NO 158 CONCERNANT LA CESSATION DE LA RELATION DE TRAVAIL A L'INITIATIVE DE L'EMPLOYEUR
536, autorisant l'approbation d'une convention sur le credit-bail international
537,AUTORISANT LA RATIFICATION DE LA CONVENTION INTERNATIONALE DU TRAVAIL NO 156 CONCERNANT L'EGALITE DE CHANCES ET DE TRAITEMENT POUR LES TRAVAILLEURS DES DEUX SEXES : TRAVAILLEURS AYANT DES RESPONSABILITES FAMILIALES
538,AUTORISANT LA RATIFICATION DE LA CONVENTION INTERNATIONALE DU TRAVAIL NO 159 CONCERNANT LA READAPTATION PROFESSIONNELLE ET L'EMPLOI DES PERSONNES HANDICAPEES
539,"autorisant l'approbation d'une convention sur la protection des ressources naturelles et de l'environnement de la region du Pacifique sud (ensemble une annexe), ainsi que d'un protocole de cooperation dans les interventions d'urgence contre les incidents generateurs de pollution dans la region du Pacifique sud et d'un protocole sur la prevention de la pollution de la region du Pacifique sud resultant de l'immersion de dechets (ensemble quatre annexes)"
540,  autorisant la ratification de la convention relative a l'elimination des doubles impositions en cas de correction des benefices d'entreprises associees
541,  autorisant l'adhesion de la France a la convention pour la reconnaissance mutuelle des inspections concernant la fabrication des produits pharmaceutiques
542,TENDANT A AUTORISER CERTAINS ETABLISSEMENTS D'ENSEIGNEMENT SUPERIEUR PRIVES A CONCLURE AVEC L'ETAT DES CONVENTIONS RELATIVES AUX FORMATIONS QU'ILS ASSURENT
543,relative a la cooperation intercommunale et au developpement local
544,relative a la cooperation intercommunale et au developpement local
545,
546,et plusieurs de ses collègues  relative a la cooperation intercommunale et au developpement local
547,i  relatif au corps humain et modifiant le code civil
548,latif a la prevention de la corruption et a la transparence de la vie economique et des procedures publiques
549,tendant a moduler les cotisations d'assurance vieillesse en fonction des charges familiales
550,et plusieurs de ses collègues  tendant a modifier l'article L. 321-13 du code du travail afin d'adapter cette disposition a la specificite des particuliers employeurs
551,TENDANT A MODIFIER LA LOI NO 84-575 DU 9 JUILLET 1984 MODIFIANT LES DISPOSITIONS DU CODE RURAL RELATIVES AUX COTISATIONS SOCIALES AGRICOLES
552,difiant et completant les dispositions du code rural et de la loi no 90-85 du 23 janvier 1990 relatives aux cotisations sociales agricoles
553,TENDANT A EXONERER LES EMPLOYEURS DES COTISATIONS SOCIALES POUR LES ALLOCATIONS DE RECHERCHE VERSEES AUX ETUDIANTS
554,RISANT L'APPROBATION DU PROTOCOLE DE MONTREAL RELATIF A DES SUBSTANCES QUI APPAUVRISSENT LA COUCHE D'OZONE
555,risant l'approbation d'un amendement au protocole de Montreal du 16 septembre 1987 relatif a des substances qui appauvrissent la couche d'ozone
556,"et plusieurs de ses collègues  TENDANT A PRESERVER L'INTEGRITE DES OEUVRES CINEMATOGRAPHIQUES OU DE FICTION DIFFUSEES PAR LES CHAINES DE TELEVISION, NOTAMMENT PAR L'INTERDICTION DES COUPURES PUBLICITAIRES"
557,
558,relative a l'exercice de la profession de courtiers interpretes et conducteurs de navires
559,BARNIER  tendant a la creation d'une commission d'enquete sur le cout de l'electricite d'origine nucleaire
560,TENDANT A GARANTIR LA COUVERTURE SOCIALE DE CERTAINS AGRICULTEURS EN RETARD DE PAIEMENT DE LEURS COTISATIONS
561,TENDANT A GARANTIR LES CREANCES MOBILIERES ET IMMOBILIERES DES COMMUNES EN CAS DE LIQUIDATION JUDICIAIRE D'ENTREPRISES SOUS CONTRAT D'ATELIERS-RELAIS AVEC CES COMMUNES
562,relative au recouvrement des creances publiques
563,risant l'approbation d'un accord portant creation de la Banque Europeenne pour la Reconstruction et le Developpement (ensemble deux annexes et une declaration)
564,tendant a la creation d'une delegation parlementaire des exportations de materiel de guerre
565,oi de M. Philippe MARINI  et plusieurs de ses collègues  tendant a permettre la creation de fonds de pension
566,TENDANT A LA CREATION DE TITRES-LOISIRS
567,tendant a proposer des mesures pour faciliter la creation d'emplois dans les petites entreprises
568,
569,
570,TENDANT A GENERALISER LA CREATION D'ETUDES SURVEILLEES APRES LA FERMETURE DES CLASSES
571,RELATIVE A LA CREATION D'UN CONSEIL NATIONAL DE SECURITE
572,tendant a la creation d'un diplome d'Etat de thanatopracteur
573,et plusieurs de ses collègues  visant a creer un fonds d'equipement et d'amenagement du territoire
574,tendant a creer un ministere des retraites
575,relative au service national et tendant a creer un service civil communal d'interet general
576,tendant a reformer la dotation globale de fonctionnement des communes et a creer une dotation de solidarite rurale
577,TENDANT A COMPLETER L'ARTICLE L. 435-2 DU CODE DU TRAVAIL ET RELATIVE AUX CREDITS D'HEURES ALLOUES AU REPRESENTANT SYNDICAL AU COMITE CENTRAL D'ENTREPRISE
578,"ojet de loi  relatif au credit-formation, a la qualite et au controle de la formation professionnelle continue et modifiant le livre IX du code du travail"
579,et plusieurs de ses collègues  TENDANT A COMPLETER L'ARTICLE L. 435-2 DU CODE DU TRAVAIL ET RELATIVE AUX CREDITS D'HEURES ALLOUES AU REPRESENTANT SYNDICAL AU COMITE CENTRAL D'ENTREPRISES
580,et plusieurs de ses collègues  relative a la reconnaissance des crimes contre l'humanite commis par le regime de Vichy
581,relative a la reconnaissance des crimes contre l'humanite commis par le regime de Vichy
582,i  PORTANT REFORME DES DISPOSITIONS DU CODE PENAL RELATIVES A LA REPRESSION DES CRIMES ET DELITS CONTRE LES PERSONNES
583,"i  portant reforme des dispositions du code penal relatives a la repression des crimes et delits contre la nation, l'Etat et la paix publique"
584,i  PORTANT REFORME DES DISPOSITIONS DU CODE PENAL RELATIVES A LA REPRESSION DES CRIMES ET DELITS CONTRE LES BIENS
585,et plusieurs de ses collègues  relative aux crimes et delits contre les mineurs
586,tendant a transferer aux regions la responsabilite des centres regionaux des oeuvres universitaires et scolaires
587,et plusieurs de ses collègues  tendant a interdire le cumul de certaines fonctions electives par les deputes et par les senateurs
588,et plusieurs de ses collègues  tendant a interdire le cumul de certaines fonctions electives avec le mandat de representant a l'assemblee des communautes europeennes et relative aux garanties accordees a ces fonctions electives
589,tendant a limiter le cumul des mandats detenus par les membres du gouvernement
590,tendant a renforcer la loi limitant les cumuls de mandats electifs et a moraliser les conditions de demission
591,modifiant la date des elections legislatives sur le territoire de la Polynesie francaise
592, loi de M. Claude HURIET  et plusieurs de ses collègues  modifiant la date d'entree en vigueur de la loi no 88-1138 du 20 decembre 1988 modifiee relative a la protection des personnes qui se pretent a des recherches biomedicales
593,tendant au regroupement des dates des elections locales tous les trois ans
594,"tendant a permettre la dation en paiement des droits de succession, des droits sur les mutations a titre gratuit entre vifs et du droit de partage par la remise de biens immobiliers susceptibles d'etre annexes au domaine du Conservatoire de l'espace littoral et des rivages lacustres"
595,relative a la decentralisation de la formation professionnelle
596,tendant a la decentralisation de la gestion des hopitaux
597,relative a la decentralisation de l'enseignement superieur public et a l'autonomie des universites
598,et plusieurs de ses collègues  relative a la decentralisation de la politique du developpement rural
599,tendant a etendre au territoire de la Polynesie francaise les lois de decentralisation
600,tendant a interdire l'importation et l'exportation de dechets hospitaliers et a renforcer le controle de leur elimination
601,
602,
603,
604,tendant a rendre licite la declaration de volonte de mourir dans la dignite
605,
606,
607,
608,
609,
610,
611,
612,
613,
614,
615,
616,
617,
618,
619,
620,
621,
622,
623,
624,
625,
626,
627,
628,
629,
630,
631,
632,
633,
634,
635,
636,
637,
638,
639,
640,
641,
642,i de M. Jean AUROUX  et plusieurs de ses collègues  relative a la declaration du patrimoine des membres du Gouvernement et des titulaires de certaines fonctions electives
643,de loi organique de M. Jean AUROUX  et plusieurs de ses collègues  relative a la declaration du patrimoine des parlementaires
644,tendant a instituer une declaration prenatale de consentement a l'adoption
645,
646,
647,
648,
649,"relative a l'article L. 11-5 du code de l'expropriation pour cause d'utilite publique tendant a faire obligation aux commissions d'enquete prealablement a toute declaration d'utilite publique, de motiver leurs conclusions"
650,tendant a instituer une deduction fiscale au profit des contribuables ayant a charge un ou plusieurs enfants atteints d'adrenoleucodystrophie
651,modifiant le code civil et relatif a la responsabilite du fait du defaut de securite des produits
652,RELATIVE A LA DEFENSE DE LA LANGUE FRANCAISE
653,tendant a conferer aux deficients auditifs ou de la parole le benefice de dispositions applicables aux adultes handicapes
654,tendant a reprimer les degradations commises par les auteurs de graffiti et autres inscriptions sur des biens meubles ou immeubles
655,TENDANT A PRECISER LE DELAI DE RECOURS EN GARANTIE DES ADJUDICATAIRES DANS LES VENTES MOBILIERES AUX ENCHERES PUBLIQUES A L'ENCONTRE DES OFFICIERS VENDEURS
656,et plusieurs de ses collègues  TENDANT A ABROGER LES ARTICLES DU CODE CIVIL RELATIFS AU DELAI DE VIDUITE
657,TENDANT A ABROGER LES ARTICLES DU CODE CIVIL RELATIFS AU DELAI DE VIDUITE
658,tendant a reduire les delais de paiement des produits alimentaires perissables
659,ojet de loi  relatif aux delais de paiement entre les entreprises
660,TENDANT A CREER UNE DELEGATION AUX LIBERTES
661,tendant a modifier l'article 6-bis de l'ordonnance no 58-1100 du 17 novembre 1958 relative au fonctionnement des Assemblees parlementaires afin d'instituer dans chaque assemblee une delegation parlementaire pour le developpement
662,TENDANT A MODIFIER LA LOI NO 86-1197 DU 24 NOVEMBRE 1986 RELATIVE A LA DELIMITATION DES CIRCONSCRIPTIONS POUR L'ELECTION DES DEPUTES
663,tendant a renforcer les pouvoirs des communes en matiere de delivrance de certificats d'hebergement
664,
665,TENDANT A LIER LA PROCEDURE DE DELIVRANCE DU PERMIS DE CONSTRUIRE A CELLE DES AUTORISATIONS D'EXPLOITATION D'INSTALLATION CLASSEE
666,relative au demarchage de droits litigieux
667,et plusieurs de ses collègues  visant a democratiser l'impot de solidarite sur la fortune
668,modifiant les annexes I et II de la loi no 83-675 du 26 juillet 1983 relative a la democratisation du secteur public
669, relatif a la mise a la disposition des departements des services deconcentres du ministere de l'equipement et a la prise en charge des depenses de ces services
670,et plusieurs de ses collègues  relative a l'interruption volontaire de grossesse et supprimant la penalisation de l'auto-avortement
671,sur la dependance
672,TENDANT A REMBOURSER EN TOTALITE LES DEPENSES DE SANTE DES PERSONNES AGEES DE PLUS DE SOIXANTE ANS
673,TENDANT A FAIRE DISPARAITRE LA DISCRIMINATION DANS LE REMBOURSEMENT DES FRAIS ELECTORAUX DES CANDIDATS AUX ELECTIONS MUNICIPALES DES PETITES COMMUNES
674,latif a la limitation des depenses electorales et a la clarification du financement des activites politiques
675,TENDANT A MODIFIER CERTAINES DISPOSITIONS DU CODE DES PENSIONS MILITAIRES D'INVALIDITE ET DES VICTIMES DE GUERRE EN FAVEUR DES ANCIENS PRISONNIERS DU CAMP DE RAWA-RUSKA
676,RELATIVE A LA DEPOSE PAR AERONEF DE PASSAGERS A DES FINS DE LOISIRS AUX SOMMETS ET AUX COLS DE HAUTE-MONTAGNE
677,RELATIVE A LA DESETATISATION DE LA CAISSE DES DEPOTS ET CONSIGNATIONS ET A LA SUPPRESSION DE SES PRIVILEGES
678,TENDANT A ASSURER LA CONTINUITE DU SERVICE PUBLIC POUR LA DESSERTE AERIENNE ET MARITIME DE LA CORSE
679,MODIFIANT LE CODE DE PROCEDURE PENALE ET RELATIF A LA DETENTION PROVISOIRE
680,RELATIVE AU DEVELOPPEMENT DE L'ECONOMIE TOURISTIQUE A PARTIR DES COMMUNES TOURISTIQUES ET DES STATIONS CLASSEES
681,et plusieurs de ses collègues  TENDANT AU DEVELOPPEMENT DE L'EDUCATION SEXUELLE
682,TENDANT AU DEVELOPPEMENT DE L'EDUCATION SEXUELLE
683,tendant a favoriser le developpement des zones de reconversion rurales
684,oposition de loi de M. Jacques DE MENOU  et plusieurs de ses collègues  tendant a faciliter le developpement du tourisme rural
685,OLLECTIVITES TERRITORIALES EN FAVEUR DU DEVELOPPEMENT ECONOMIQUE LOCAL
686,tendant a completer la loi no 85-30 du 9 janvier 1985 relative au developpement et a la protection de la montagne
687,"oi  portant reforme de la dotation globale de fonctionnement des communes, instituant une solidarite financiere entre les communes d'Ile-de-France et modifiant le code des communes"
688,tendant a modifier l'article L. 234-13 du code des communes relatif a la dotation supplementaire de dotation globale de fonctionnement en faveur des communes touristiques et thermales
689,"oposition de loi de M. Louis MERMAZ  et plusieurs de ses collègues  TENDANT A ASSOUPLIR LES SANCTIONS PREVUES PAR L'ARTICLE L.55 DE LA LOI DU 1ER MARS 1984 RELATIVE A LA PREVENTION ET AU REGLEMENT AMIABLE DES DIFFICULTES DES ENTREPRISES, APPLICABLES AUX CAS OU UNE SOCIETE A RESPONSABILITE LIMITEE N'A PAS PORTE SON CAPITAL A 50000 F, LE 1ER MARS 1989"
690,relative a la diffusion de l'enregistrement des proces relatifs aux crimes contre l'humanite
691,relative a la diffusion et la reproduction de l'enregistrement audiovisuel et sonore des debats du proces Klaus Barbie
692,TENDANT A INTERDIRE LA DIFFUSION D'IMAGES NON DECELABLES DITES SUBLIMINALES
693,"elative a la diffusion du film""Le proces Barbie : justice pour la memoire et l'histoire"""
694,RELATIVE A LA DIGNITE DE LA FEMME
695,et plusieurs de ses collègues  portant validation legislative de la liste d'admission a un examen pour la delivrance du diplome d'Etat d'infirmier
696,TENDANT A MODIFIER L'ARTICLE 24 DE LA LOI NO 75-535 DU 30 JUIN 1975 AFIN QUE LE DIRECTEUR DES ETABLISSEMENTS DE L'AIDE SOCIALE A L'ENFANCE SOIT NOMME PAR LE PRESIDENT DU CONSEIL GENERAL
697,de loi de M. Adrien GOUTEYRON  et plusieurs de ses collègues  tendant a completer la loi no 59-1557 du 31 decembre 1959 sur les rapports entre l'Etat et les etablissements d'enseignement prives afin de faire beneficier les directeurs d'etablissements d'enseignement prives des indemnites de direction et de decharges de service d'enseignement accordees aux instituteurs exercant des fonctions de directeur d'ecole publique
698,tendant a completer la loi no 59-1557 du 31 decembre 1959 sur les rapports entre l'Etat et les etablissements d'enseignement prives afin de faire beneficier les directeurs d'etablissements d'enseignement prives des indemnites de direction et de decharges de service d'enseignement accordees aux instituteurs exercant des fonctions de directeurs d'ecoles publiques
699,TENDANT A L'INELIGIBILITE DES DIRECTEURS GENERAUX DES SERVICES REGIONAUX ET DEPARTEMENTAUX
700,SUR L'ADHESION DES MEMBRES DES DIRECTIONS DES ENTREPRISES PUBLIQUES ET NATIONALISEES A DES ASSOCIATIONS PATRONALES PRIVEES
701,atif a la protection des personnes contre les discriminations en raison de leur etat de sante ou de leur handicap
702,TENDANT A INSTITUER UNE NOUVELLE CATEGORIE DE DISPENSE D'OBLIGATION DU SERVICE NATIONAL ACTIF FONDEE SUR LA DEFENSE DE L'EMPLOI
703," PORTANT DISPOSITIONS CONCERNANT LES ACCORDS RELATIFS AUX ALLOCATIONS D'ASSURANCES DES TRAVAILLEURS PRIVES D'EMPLOI, L'EGALITE PROFESSIONNELLE DES FEMMES ET DES HOMMES, LES CONTROLEURS DU TRAVAIL ET DE LA MAIN-D'OEUVRE, LES TRAVAILLEURS ETRANGERS ET LE TRAVAIL CLANDESTIN"
704,i  portant extension aux territoires d'outre-mer et a la collectivite territoriale de Mayotte de diverses dispositions intervenues en matiere electorale
705,
706,RELATIVE A LA DISTILLATION EN FRANCHISE DE DROITS D'UNE PARTIE DE LA PRODUCTION D'EAU-DE-VIE NATURELLE DES EXPLOITANTS AGRICOLES
707,"relative a la distillation, en franchise de droits, d'une partie de la production des recoltants-producteurs d'eau-de-vie naturelle"
708,rtant diverses dispositions relatives a la securite sociale et a la sante
709, portant diverses dispositions d'ordre economique et financier
710,
711, portant diverses dispositions d'ordre social
712,"oi  portant diverses dispositions relatives au temps de travail, a la garantie des indemnites complementaires des beneficiaires des stages d'initiation a la vie professionnelle et a la mise en oeuvre du droit a la conversion dans les entreprises en redressement ou en liquidation judiciaire"
713, portant diverses dispositions relatives aux transports terrestres
714,ojet de loi  PORTANT DIVERSES MESURES D'ORDRE SOCIAL
715,rtant diverses mesures d'ordre social
716,rtant diverses mesures d'ordre social
717, PORTANT DIVERSES MESURES RELATIVES AUX ASSURANCES
718,tendant a completer les dispositions relatives au divorce par consentement mutuel
719,relative a la reforme du divorce pour rupture de la vie commune
720,"loi de M. Raymond MARCELLIN  TENDANT A DEFINIR, DELIMITER ET PROTEGER LE DOMAINE PUBLIC MARITIME NATUREL"
721,RELATIVE A LA DOMICILIATION DES ENTREPRISES
722,
723,"portant dispositions diverses relatives aux departements d'outre-mer, aux territoires d'outre-mer et aux collectivites territoriales de Mayotte et de Saint-Pierre-et-Miquelon"
724,RELATIVE A LA DIFFUSION A LA RADIO ET A LA TELEVISION D'INFORMATIONS POUR ENCOURAGER LE DON BENEVOLE DU SANG
725," relatif au don et a l'utilisation therapeutique du sang humain et a l'organisation de la transfusion sanguine, et modifiant le code de la sante publique"
726,"loi  relatif au traitement de donnees nominatives ayant pour fin la recherche en vue de la protection ou l'amelioration de la sante et modifiant la loi no 78-17 du 6 janvier 1978 relative a l'informatique, aux fichiers et aux libertes"
727,tendant a faire porter sur les cartes d'assure social une mention relative aux dons d'organes
728,"i  relatif au don et a l'utilisation des elements et produits du corps humain et a la procreation medicalement assistee, et modifiant le code de la sante publique"
729,TENDANT A ETENDRE A TOUTES LES ASSOCIATIONS DECLAREES QUI EXERCENT UNE ACTIVITE D'INTERET GENERAL LA FACULTE DE RECEVOIR DES DONS ET LEGS
730,tendant a creer une dotation complementaire d'integration
731,et plusieurs de ses collègues  tendant a modifier les regles d'indexation de la dotation globale de fonctionnement
732,et plusieurs de ses collègues  visant a rendre plus justes pour les communes petites et moyennes les modalites de repartition de la dotation de base de la dotation globale de fonctionnement
733,RELATIVE A LA DOTATION GLOBALE D'EQUIPEMENT
734,et plusieurs de ses collègues  TENDANT A ACCORDER AUX COMMUNES DE MOINS DE 2000 HABITANTS UN DROIT D'OPTION EN FAVEUR DE LA PREMIERE PART DE LA DOTATION GLOBALE D'EQUIPEMENT
735,TENDANT A AMELIORER LE DISPOSITIF APPLICABLE A LA DOTATION SUPPLEMENTAIRE DESTINEE AUX COMMUNES TOURISTIQUES
736,relative aux dotations financieres attribuees aux communes des departements d'outre-mer
737,tendant a garantir le droit a l'affichage d'opinion
738,de loi de M. Georges GRUILLOT  et plusieurs de ses collègues  tendant a instituer un droit a l'emprunt en faveur des etudiants
739,tendant a instituer un droit a l'emprunt en faveur des etudiants
740,tendant a reconnaitre le droit a l'indemnisation des Patriotes Resistants a l'Occupation
741,TENDANT A MODIFIER L'ARTICLE L. 353-1 DU CODE DE LA SECURITE SOCIALE AFIN DE SUPPRIMER LES CONDITIONS DE RESSOURCES POUR L'OUVERTURE DU DROIT A PENSION DE REVERSION
742,et plusieurs de ses collègues  tendant a creer un droit de contracter aupres de tout etablissement bancaire un pret dont le remboursement est garanti par l'Etat et destine a faciliter l'installation des jeunes epoux maries depuis moins de six mois
743,TENDANT A INSTITUER LE DROIT AU LOGEMENT ET A DEFINIR LES MODALITES DE SA MISE EN OEUVRE CONCRETE
744,ant a la mise en oeuvre du droit au logement
745,relatif a la generalisation du droit aux activites sociales et culturelles au benefice des salaries
746,reformant la procedure du droit d'asile
747,tendant a reformer la procedure du droit d'asile
748,tendant a reformer la procedure du droit d'asile
749,TENDANT A ASSURER L'EXERCICE SANS RESTRICTION DU DROIT DE GREVE
750,et plusieurs de ses collègues  TENDANT A ASSURER L'EXERCICE SANS RESTRICTION DU DROIT DE GREVE
751,TENDANT A AUTORISER LES PROPRIETAIRES A SE PREVALOIR D'UN DROIT DE NON-CHASSE
752,tendant a retablir le droit de peche dans l'etang de Berre
753,tendant a moraliser l'exercice du droit de preemption
754,"tendant a faire obligation aux collectivites publiques et etablissements publics de cooperation intercommunale qui usent de leur droit de preemption urbain, de rembourser les frais engages par les acquereurs evinces"
755,TENDANT A INSTITUER UN DROIT DE PRIORITE SUR LEURS MURS AU PROFIT DES COMMERCANTS
756,TENDANT A ACCORDER LE DROIT DE VOTE POUR LES ELECTIONS MUNICIPALES AUX CITOYENS DES ETATS MEMBRES DE LA COMMUNAUTE ECONOMIQUE EUROPEENNE
