,Title,Name,content,
377,CONFLITS COLLECTIFS DU TRAVAIL,Lucien RICHARD,TENDANT A RENDRE OBLIGATOIRE LA PUBLICATION DES MOTIFS DANS LES CONFLITS COLLECTIFS DU TRAVAIL DANS LES SERVICES PUBLICS,
378,CONGE PARENTAL ET DIVERSES VALIDATIONS,"Martine David, Guy Penne",loi  RELATIF AU CONGE PARENTAL ET A DIVERSES VALIDATIONS,
379,conges annuels des salaries,Hector VIRON,et plusieurs de ses collègues  relative au mode de calcul des conges annuels des salaries,
380,conges annuels des salaries,Guy HERMIER,relative au mode de calcul des conges annuels des salaries,
381,CONGES DE FORMATION PERMANENTE DES CITOYENS,Hector VIRON,et plusieurs de ses collègues  TENDANT A CREER UN DROIT A DES CONGES DE FORMATION PERMANENTE DES CITOYENS,
382,CONGES DE FORMATION PERMANENTE DES CITOYENS,Gustave ANSART,TENDANT A CREER UN DROIT A DES CONGES DE FORMATION PERMANENTE DES CITOYENS,
383,Conseil Constitutionnel,Etienne DAILLY,"tendant a preciser l'article premier de l'ordonnance no 58-1067 du 7 novembre 1958 modifiee, portant loi organique sur le Conseil Constitutionne",
384,Conseil economique et social,"Henry JEAN-BAPTISTE, Jean-Jacques Hyest, Louis Virapoulle",i organique de M. Henry JEAN-BAPTISTE  relative a la representation des activites economiques et sociales de l'outre-mer au sein du Conseil economique et social,
385,Conseil economique et social,Alain POHER,tendant a modifier l'ordonnance no 58-1360 du 29 decembre 1958 portant loi organique relative au Conseil economique et social,
386,Conseil économique et social,"Laurent FABIUS, René Dosière, Etienne Dailly",loi organique de M. Laurent FABIUS  tendant a modifier l'ordonnance no 58-1360 du 29 decembre 1958 modifiee portant loi organique relative au Conseil economique et social,
387,CONSEIL MUNICIPAL ET  MOBILIER URBAIN,Pierre RAYNAL,TENDANT A RENDRE OBLIGATOIRE LA COMMUNICATION PAR LE MAIRE AU CONSEIL MUNICIPAL D'UN RAPPORT ANNUEL SUR L'ETAT DU MOBILIER URBAIN,
388,CONSEIL NATIONAL DES SERVICES PUBLICS,René RÉGNAULT,et plusieurs de ses collègues  TENDANT A LA CREATION D'UN CONSEIL NATIONAL DES SERVICES PUBLICS ET RELATIVE AUX CONSEILS DEPARTEMENTAUX ET LOCAUX DES SERVICES PUBLICS,
389,Conseil superieur de la Fonction militaire,"Albert Voilquin, Jean Gatel",oi  modifiant la loi no 69-1044 du 21 novembre 1969 relative au Conseil superieur de la Fonction militaire,
390,Conseil Superieur de la Magistrature,Nicole CATALA,tendant a modifier l'article 1er de l'ordonnance no 58-1271 du 22 decembre 1958 portant loi organique sur le Conseil Superieur de la Magistrature,
391,Conseil superieur de la Magistrature,Jean-Louis DEBRÉ,modifiant l'ordonnance no 58-1271 du 22 decembre 1958 portant loi organique relative au Conseil superieur de la Magistrature,
392,Conseil superieur de la magistrature,André LAJOINIE,tendant a garantir l'independance de la justice et a democratiser le Conseil superieur de la magistrature,
393,conseil superieur de la magistrature,Francis DELATTRE,modifiant l'ordonnance no 58-1271 du 22 decembre 1958 portant loi organique sur le conseil superieur de la magistrature et reformant la composition du conseil superieur de la magistrature,
394,CONSEIL SUPERIEUR DES FRANCAIS DE L'ETRANGER,Charles DE CUTTOLI,et plusieurs de ses collègues  MODIFIANT ET COMPLETANT L'ARTICLE 2 QUATER DE LA LOI NO 82-471 DU 7 JUIN 1982 RELATIVE AU CONSEIL SUPERIEUR DES FRANCAIS DE L'ETRANGER,
395,CONSEIL SUPERIEUR DES FRANCAIS DE L'ETRANGER,Charles DE CUTTOLI,et plusieurs de ses collègues  TENDANT A MODIFIER L'ARTICLE 6 DE LA LOI NO 82-471 DU 7 JUIN 1982 RELATIVE AU CONSEIL SUPERIEUR DES FRANCAIS DE L'ETRANGER,
396,CONSEIL SUPERIEUR DES FRANCAIS DE L'ETRANGER,"Jean-Pierre CANTEGRIT, Daniel Hoeffel, Michel Suchod",oposition de loi de M. Jean-Pierre CANTEGRIT  et plusieurs de ses collègues  MODIFIANT LA LOI NO 82-471 DU 7 JUIN 1982 MODIFIEE RELATIVE AU CONSEIL SUPERIEUR DES FRANCAIS DE L'ETRANGER,
397,CONSEIL SUPERIEUR DES FRANCAIS DE L'ETRANGER,Guy PENNE,et plusieurs de ses collègues  RELATIVE AU CONSEIL SUPERIEUR DES FRANCAIS DE L'ETRANGER,
398,Conseil superieur des Francais de l'etranger,Charles DE CUTTOLI,"et plusieurs de ses collègues  precisant et completant le domaine de la loi, en application de l'article 34, dernier alinea, de la Constitution, en ce qui concerne le Conseil superieur des Francais de l'etranger",
399,Conseil superieur des Francais de l'etranger,Charles DE CUTTOLI,et plusieurs de ses collègues  tendant a rendre applicable l'article L. 52-3 du code electoral aux elections au Conseil superieur des Francais de l'etranger,
400,Français de l'étranger : mandat des membres du Conseil supérieur des Francais de l'etranger,"<i>(Dossier en ligne sur le site du Sénat)</i>, Charles DE CUTTOLI, Charles de Cuttoli,  TA n° 127",oposition de loi de M. Charles DE CUTTOLI  et plusieurs de ses collègues  relative aux conditions d'exercice du mandat des membres du Conseil superieur des Francais de l'etranger,
401,Conseil superieur des Francais de l'etranger,Charles DE CUTTOLI,et plusieurs de ses collègues  tendant a modifier les articles 2 et 10 de la loi no 82-471 du 7 juin 1982 relative au Conseil superieur des Francais de l'etranger,
402,conseil superieur des Francais de l'etranger,Jean-Pierre BAYLE,et plusieurs de ses collègues  tendant a modifier la loi no 82-471 du 7 juin 1982 relative au conseil superieur des Francais de l'etranger,
403,conseiller du salarie,"Louis MERMAZ, Thierry Mandon, Louis Souvet",e loi de M. Louis MERMAZ  et plusieurs de ses collègues  relative au conseiller du salarie,
404,conseillers generaux,Éric RAOULT,instituant des suppleants pour les conseillers generaux,
405,CONSEILS CONSULTATIFS DES COMMUNAUTES ETRANGERES,Alain MAYOUD,TENDANT A CREER DES CONSEILS CONSULTATIFS DES COMMUNAUTES ETRANGERES VIVANT EN FRANCE,
406,conseils d'administration de la securite sociale,"Jean-Pierre Sueur, Bernard Seillier",difiant les dispositions du code de la securite sociale relatives aux conseils d'administration des organismes du regime general de securite sociale et a l'agence centrale des organismes de securite sociale et portant dispositions transitoires,
407,CONSEILS DE PRUD'HOMMES,François ASENSI,TENDANT A INSTITUER L'EXECUTION PROVISOIRE DE DROIT DES DECISIONS RENDUES EN PREMIERE INSTANCE PAR LES CONSEILS DE PRUD'HOMMES,
408,CONSEILS DE PRUD'HOMMES,Jacqueline FRAYSSE,et plusieurs de ses collègues  TENDANT A INSTITUER L'EXECUTION PROVISOIRE DE DROIT DES DECISIONS RENDUES EN PREMIERE INSTANCE PAR LES CONSEILS DE PRUD'HOMMES,
409,CONSEQUENCES DE LA GREVE DES POSTES,Pierre MAZEAUD,"RELATIVE AUX FORCLUSIONS ENCOURUES DURANT LA PERIODE D'INTERRUPTION DU SERVICE POSTAL, AINSI QU'A LA PROROGATION ET A LA SUSPENSION DE DIVERS DELAIS",
410,conservation des copies de films,Olivier DASSAULT,relative a la conservation des copies de films,
411,conservatoire national du patrimoine maritime,"Louis DE CATUELAN, Louis De Catuelan", de M. Louis DE CATUELAN  et plusieurs de ses collègues  portant creation d'un conservatoire national du patrimoine maritime,
412,CONSOLIDATION DES FONDS PROPRES DES ENTREPRISES,Georges CHAVANES,TENDANT A CONSOLIDER LES FONDS PROPRES DES ENTREPRISES,
413,constitution des commissions d'enquete et de controle,Pierre MAZEAUD,tendant a modifier l'article 140 du Reglement de l'Assemblee nationale concernant les modalites de constitution des commissions d'enquete et de controle,
414,constitution en partie civile des anciens combattants,Jean AUROUX,tendant a completer le code de procedure penale pour permettre aux associations de defense des interets moraux et de l'honneur des anciens combattants et des morts pour la France de se constituer partie civile,
415,"""constitutionnelle ajoutant un titre """"De l'union europeenne""""""","Gérard Gouzes, Jacques Larché","onstitutionnelle ajoutant à la constitution un titre ""De l'union europeenne""",
416,constitutionnelle droit de vote des etrangers,Paul LORIDANT,"et plusieurs de ses collègues  tendant a accorder le droit de vote aux ressortissants etrangers, pour les elections municipales dans leur commune de residence",
417,constitutionnelle instituant une session parlementaire unique,Georges COLOMBIER,tendant a instituer une session parlementaire unique,
418,constitutionnelle limitant les mandats presidentiels,Michel NOIR,relative a la limitation du nombre de mandats consecutifs pouvant etre exerces par le President de la Republique,
419,constitutionnelle supprimant la Haute cour de justice,Christian ESTROSI,tendant a supprimer la Haute cour de justice,
420,constitutionnelle sur la declaration de guerre,"Jean LECANUET, Bernard Laurent",oi constitutionnelle de M. Jean LECANUET  et plusieurs de ses collègues  tendant a completer l'article 35 de la Constitution,
421,constitutionnelle sur la procedure legislative,Jacques LARCHÉ,tendant a ameliorer l'efficacite de la procedure legislative,
422,constitutionnelle sur le droit de l'environnement,André SANTINI,tendant a inclure le droit de l'environnement dans la liste des matieres dont la loi fixe les regles,
423,constitutionnelle sur les commissions permanentes,Michel NOIR,modifiant les articles 28 et 43 de la Constitution et tendant a modifier le calendrier parlementaire et le nombre de commissions permanentes,
424,CONTENTIEUX DE L'ELECTION DES DEPUTES,Michel DREYFUS-SCHMIDT,"et plusieurs de ses collègues  TENDANT A INSTITUER UNE PROCEDURE D'URGENCE DANS LE CONTENTIEUX DE L'ELECTION DES DEPUTES, DEFINI PAR L'ORDONNANCE NO 58-1067 DU 7 NOVEMBRE 1958 MODIFIEE, PORTANT LOI ORGANIQUE SUR LE CONSEIL CONSTITUTIONNEL",
425,CONTENTIEUX DES ACCIDENTS DU TRAVAIL,Michel DREYFUS-SCHMIDT,et plusieurs de ses collègues  TENDANT A OUVRIR DE NOUVELLES POSSIBILITES DE RECOURS AUX VICTIMES DE CERTAINS ACCIDENTS DU TRAVAIL,
426,contentieux des reconduites a la frontiere,Louis MERMAZ,oposition de loi de M. Louis MERMAZ  et plusieurs de ses collègues  relative au contentieux des reconduites a la frontieres,
427,CONTENTIEUX RELATIF AUX FAMILLES DES MORTS,Robert PAGÈS,et plusieurs de ses collègues  TENDANT AU REGLEMENT DU CONTENTIEUX RELATIF AUX FAMILLES DES MORTS ET AU RETABLISSEMENT DE LA PROPORTIONNALITE DES PENSIONS,
428,CONTENTIEUX RELATIF AUX FAMILLES DES MORTS,André DUROMEA,TENDANT AU REGLEMENT DU CONTENTIEUX RELATIF AUX FAMILLES DES MORTS ET AU RETABLISSEMENT DE LA PROPORTIONNALITE DES PENSIONS,
429,CONTINUITE DU SERVICE PUBLIC EN CAS DE GREVE,Christian ESTROSI,TENDANT A ASSURER LA CONTINUITE DU SERVICE PUBLIC EN CAS DE GREVE,
430,contraception et education sexuelle,Marie-Claude BEAUDEAU,et plusieurs de ses collègues  tendant au developpement et a l'amelioration de la contraception et de l'education sexuelle,
431,contraception et education sexuelle,Muguette JACQUAINT,tendant au developpement et a l'amelioration de la contraception et de l'education sexuelle,
432,CONTRAT D'ASSOCIATION,Jean-Pierre DELALANDE,tendant a completer l'article 5 de la loi du 1er juillet 1901 relative au contrat d'association,
433,contrat de construction d'une maison individuelle,"Robert Laucournet, Roger Leron",ojet de loi  relatif au contrat de construction d'une maison individuelle,
434,contrat de partenariat civil,Jean-Luc MÉLENCHON,et plusieurs de ses collègues  tendant a creer un contrat de partenariat civil,
435,contrat de partenariat civil,Jean-Luc MÉLENCHON,et plusieurs de ses collègues  tendant a creer un contrat de partenariat civil,
436,contrat de transport public de marchandises,Jean SIMONIN,et plusieurs de ses collègues  tendant a modifier la loi no 82-1153 du 30 decembre 1982 d'orientation des transports interieurs et relative au contrat de transport public de marchandises,
437,contrat d'union civile,Jean-Yves AUTEXIER,tendant a creer un contrat d'union civile,
438,CONTRATS D'AFFRETEMENT ET DE TRANSPORT MARITIMES,"Josselin de Rohan, Jacques Floch",MODIFIANT LA LOI NO 66-420 DU 18 JUIN 1966 SUR LES CONTRATS D'AFFRETEMENT ET DE TRANSPORT MARITIMES,
439,contrats de fournitures et de travaux,"Bernard Laurent, Michel Suchod",ojet de loi  relatif aux recours en matiere de passation de certains contrats de fournitures et de travaux,
440,contrats de plan Etat-regions,Maurice POURCHON,tendant a corriger les desequilibres entre les regions au travers des contrats de plan Etat-regions,
441,contrats de protection de l'environnement,François GERBAUD,"et plusieurs de ses collègues portant creation des contrats de protection de l'environnement, des cahiers des charges de la protection du patrimoine naturel, des contrats de protection du patrimoine naturel, d'une rubrique""environnement""dans les contrats de plan Etat-Regions, d'un fonds national de soutien a l'innovation dans le domaine de la protection du patrimoine naturel et de mesures diverses""",
442,contrats de travail precaires,"Alain Vidalies, Hélène Missoffe",avorisant la stabilite de l'emploi par l'adaptation du regime des contrats precaires,
443,contre le changement du scrutin a l'approche des elections,Jacques BARROT,tendant a eviter tout changement de mode de scrutin a l'approche des echeances electorales,
444,contre le trafic de stupefiants,"Paul Masson, François Colcombet",ojet de loi  portant adaptation de la legislation francaise aux dispositions de la convention des Nations Unies contre le trafic illicite de stupefiants et de substances psychotropes,
445,contrefacon des moyens de paiement,Jacques GODFRAIN,tendant a aggraver les peines en matiere de contrefacon des moyens de paiement,
446,contribution francaise a la lutte contre la faim,Louis MINETTI,et plusieurs de ses collègues  relative a la contribution de la France a la lutte contre la faim et pour le developpement des regions tres defavorisees,
447,contribution francaise au developpement,Louis MERMAZ,tendant a rendre plus efficiente la politique de cooperation de la France et a elever le niveau qualitatif et quantitatif de la contribution francaise au developpement,
448,contribution francaise au developpement,Pierre VICTORIA,tendant a rendre plus efficiente la politique de cooperation de la France et a elever le niveau qualitatif et quantitatif de la contribution francaise au developpement,
449,CONTRIBUTIONS AUX CAUSES NATIONALES,Jean-Pierre DELALANDE,TENDANT A COMPLETER L'ORDONNANCE NO 59-2 DU 2 JANVIER 1959 PORTANT LOI ORGANIQUE RELATIVE AUX LOIS DE FINANCES POUR PERMETTRE LE DEVELOPPEMENT DES CONTRIBUTIONS VOLONTAIRES AUX GRANDES CAUSES NATIONALES,
450,controle de certains actes de la CEE,Pierre MAZEAUD,tendant au controle parlementaire des projets de reglements et de directives du Conseil des Communautes europeennes,
451,controle de gestion du fonds d'action sociale,"Charles MILLON, François Massot", MILLON  et plusieurs de ses collègues  tendant a la creation d'une commission de controle de la gestion du fonds d'action sociale,
452,controle de la participation francaise aux depenses CEE,"Edmond ALPHANDERY, Jean-Jacques Hyest, Jean Arthuis",modifiant l'ordonnance no 59-2 du 2 janvier 1959 portant loi organique relative aux lois de finances pour instituer un controle du Parlement sur le prelevement sur les recettes de l'Etat opere au profit des Communautes europeennes,
453,controle de la participation francaise aux depenses CEE,Jean LE GARREC,modifiant l'ordonnance no 59-2 du 2 janvier 1959 portant loi organique relative aux lois de finances pour instituer un controle du Parlement sur le prelevement sur les recettes de l'Etat opere au profit des communautes europeennes,
454,controle de l'effort social de la Nation,,Proposition de loi constitutionnelle de M. Jacques OUDIN tendant a reaffirmer les principes democratiques devant presider au controle de l'effort social de la Nation,
455,CONTROLE DES ACTIVITES DES SERVICES SECRETS,André LAJOINIE,TENDANT A MODIFIER L'ORDONNANCE NO 58-1100 DU 17 NOVEMBRE 1958 RELATIVE AU FONCTIONNEMENT DES ASSEMBLEES PARLEMENTAIRES ET PORTANT CREATION D'UNE DELEGATION PARLEMENTAIRE PERMANENTE CHARGEE DU CONTROLE DES ACTIVITES DES SERVICES SECRETS,
456,CONTROLE DES ACTIVITES DES SERVICES SECRETS,Hélène LUC,et plusieurs de ses collègues  TENDANT A MODIFIER L'ORDONNANCE NO 58-1100 DU 17 NOVEMBRE 1958 RELATIVE AU FONCTIONNEMENT DES ASSEMBLEES PARLEMENTAIRES ET PORTANT CREATION D'UNE DELEGATION PARLEMENTAIRE PERMANENTE CHARGEE DU CONTROLE DES ACTIVITES DES SERVICES SECRETS,
457,controle des comptes communaux,Georges CHAVANES,relative au controle des comptes communaux,
458,controle des comptes des collectivites locales,François GERBAUD,portant modification de l'article 87 de la loi no 82-213 du 2 mars 1982 relative aux droits et libertes des communes des departements et des regions,
459,controle des fonds consacres a l'emploi,Muguette JACQUAINT,relative au controle democratique des fonds publics consacres a la formation professionnelle et a l'emploi,
460,controle des institutions sociales du personnel d'EDF-GDF,"Jean BROCARD, Michel Coffineau",solution de M. Jean BROCARD  tendant a la constitution d'une commission de controle sur les institutions sociales du personnel des industries electriques et gazieres,
461,CONTROLE DES OPERATIONS DE VOTE,Charles LEDERMAN,et plusieurs de ses collègues  TENDANT A DEMOCRATISER LE CONTROLE DES CITOYENS SUR LES OPERATIONS DE VOTE,
462,CONTROLE DES OPERATIONS DE VOTE,Alain BOCQUET,TENDANT A DEMOCRATISER LE CONTROLE DES CITOYENS SUR LES OPERATIONS DE VOTE,
463,CONTROLE DES PROJETS PAR LE CC,Yves LE COZANNET,TENDANT A RENDRE EFFECTIF LE CONTROLE DU CONSEIL CONSTITUTIONNEL SUR LES PROJETS DE LOI SOUMIS AU REFERENDUM,
464,controle des projets referendaires,,tendant a rendre effectif le controle du Conseil constitutionnel sur les projets de loi soumis au referendum,
465,controle des travaux dans les cavites souterraines,Louis MERMAZ,tendant a instituer un controle des travaux effectues dans des cavites souterraines,
466,controle du Credit Lyonnais,François D'AUBERT,"tendant a la creation d'une commission de controle sur le Credit Lyonnais et sur les risques pris par une banque nationalisee dans certaines de ses operations a l'etranger, par l'intermediaire de ses filiales",
467,controle du Parlement sur la securite sociale,Lucien RICHARD,tendant a instituer un controle annuel du Parlement sur le budget des regimes obligatoires de securite sociale,
468,controle parlementaire du conseil de la CEE,Charles PASQUA,et plusieurs de ses collègues  tendant au controle parlementaire des projets de reglements et de directives du conseil des communautes europeennes,
469,controle sur l'assurance-credit et la COFACE,"François D'AUBERT, Edmond Hervé",s D'AUBERT  et plusieurs de ses collègues  tendant a la creation d'une commission de controle sur le service public de l'assurance-credit et la COFACE,
470,controles de police,Lucette MICHAUX-CHEVRY,tendant a supprimer les controles de police pour les citoyens francais entre la metropole et les departements d'outre-mer,
471,CONVENTION ASSISTANCE EN CAS D'ACCIDENT NUCLEAIRE,Michel Bérégovoy,AUTORISANT L'APPROBATION D'UNE CONVENTION SUR L'ASSISTANCE EN CAS D'ACCIDENT NUCLEAIRE OU DE SITUATION D'URGENCE RADIOLOGIQUE,
472,convention avec le Cameroun sur la securite sociale,Jeanny Lorgeoux, d'une convention generale entre le gouvernement de la Republique francaise et le gouvernement de la Republique du Cameroun sur la securite sociale (ensemble un protocole relatif au regime d'assurances sociales des etudiants).,
473,CONVENTION AVEC L'UNION LATINE,"Michel D'Aillieres, Charles Pistre",AUTORISANT L'APPROBATION D'UN ACCORD ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET L'UNION LATINE RELATIF A L'ETABLISSEMENT A PARIS DU SECRETARIAT DE L'UNION LATINE ET A SES PRIVILEGES ET IMMUNITES SUR LE TERRITOIRE FRANCAIS (ENSEMBLE UNE ANNEXE),
474,CONVENTION CEE RESSOURCES PROPRES DES COMMUNAUTES,"Paul Dhaille, Josy Moinet",i  AUTORISANT L'APPROBATION D'UNE DECISION DU CONSEIL DES COMMUNAUTES EUROPEENNES RELATIVE AU SYSTEME DES RESSOURCES PROPRES DES COMMUNAUTES,
475,CONVENTION CONSERVATION DE LA VIE SAUVAGE ,"Roland Nungesser, Jacques Golliet",UTORISANT L'APPROBATION D'UNE CONVENTION RELATIVE A LA CONSERVATION DE LA VIE SAUVAGE ET DU MILIEU NATUREL DE L'EUROPE,
476,CONVENTION CONSERVATION DES ESPECES MIGRATRICES,"Roland Nungesser, Jacques Golliet",UTORISANT L'APPROBATION D'UNE CONVENTION RELATIVE A LA CONSERVATION DES ESPECES MIGRATRICES APPARTENANT A LA FAUNE SAUVAGE,
477,convention contre le dopage,"Bernard Guyomard, Michel Crépeau",autorisant l'approbation d'une convention contre le dopage,
478,convention contre le trafic de stupefiants,"Michel Alloncle, Louise Moreau", autorisant l'approbation de la convention des Nations Unies contre le trafic illicite de stupefiants et de substances psychotropes,
479,convention culturelle France-Tchecoslovaquie,"Michel Crucis, Xavier Deniau", autorisant l'approbation d'un accord entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique federative tcheque et slovaque sur la creation et les modalites de fonctionnement des centres culturels,
480,convention d'assistance administrative France-Mali,"Charles Pistre, Bernard Guyomard","torisant l'approbation d'une convention d'assistance administrative mutuelle pour la prevention, la recherche et la repression des fraudes douanieres entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique du Mali",
481,convention de securite sociale avec la Cote d'Ivoire,"Pierre Lagorce, Jean-Pierre Bayle",de l'avenant no 1 a la convention de securite sociale du 16 janvier 1985 entre le gouvernement de la Republique francaise et le gouvernement de la Republique de Cote d'Ivoire,
482,convention de securite sociale France-Philippines,"Louise Moreau, Jean-Pierre Bayle","orisant l'approbation de la convention de securite sociale entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique des Philippines, signee a Manille le 7 fevrier 1990",
483,convention de securite sociale France-Turquie,"Louise Moreau, Jean-Pierre Bayle","orisant l'approbation de l'avenant no 2 a la convention generale du 20 janvier 1972 sur la securite sociale entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique de Turquie, signe a Ankara le 17 avril 1990",
484,CONVENTION DEDOMMAGEMENT DES VICTIMES ,Michèle Alliot-Marie,AUTORISANT L'APPROBATION D'UNE CONVENTION EUROPEENNE RELATIVE AU DEDOMMAGEMENT DES VICTIMES D'INFRACTIONS VIOLENTES,
485,convention d'entraide judiciaire avec le Canada,"Jacques Golliet, Étienne Pinte", d'une convention d'entraide judiciaire en matiere penale entre le Gouvernement de la Republique francaise et le Gouvernement du Canada,
486,CONVENTION D'ENTRAIDE JUDICIAIRE FRANCE-BULGARIE,"Louis Jung, Pierre Raynal", AUTORISANT L'APPROBATION D'UNE CONVENTION D'ENTRAIDE JUDICIAIRE EN MATIERE CIVILE ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE LA REPUBLIQUE POPULAIRE DE BULGARIE,
487,convention d'entraide judiciaire France-Uruguay,"André Rouvière, Paul Dhaille",  autorisant l'approbation de la convention d'entraide judiciaire en matiere civile et commerciale entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique orientale de l'Uruguay,
488,convention d'extradition entre la France et Monaco,,autorisant l'approbation de la convention d'extradition entre le Gouvernement de la Republique francaise et le Gouvernement de Son Altesse Serenissime le Prince de Monaco,
489,CONVENTION D'EXTRADITION FRANCE-AUSTRALIE,"Michel D'Aillieres, Pierre Raynal", AUTORISANT L'APPROBATION D'UNE CONVENTION D'EXTRADITION ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE L'AUSTRALIE,
490,CONVENTION D'EXTRADITION FRANCE-CANADA,"Michel Crucis, François Loncle",UTORISANT L'APPROBATION D'UNE CONVENTION D'EXTRADITION ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DU CANADA,
491,CONVENTION DOUANIERE FRANCE-FINLANDE,"Xavier de Villepin, Jean Laborde", D'UNE CONVENTION D'ASSISTANCE ADMINISTRATIVE MUTUELLE EN MATIERE DOUANIERE ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE LA REPUBLIQUE DE FINLANDE,
492,convention douaniere France-Madagascar,"Michel Crucis, Charles Ehrmann", d'une convention d'assistance administrative mutuelle en matiere douaniere entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique democratique de Madagascar,
493,convention douaniere France-Maroc,"Michel Crucis, Philippe Séguin"," d'une convention d'assistance administrative mutuelle en vue de prevenir, de rechercher et de reprimer les infractions douanieres entre le Gouvernement de la Republique francaise et le Gouvernement du Royaume du Maroc",
494,convention entre la France et le Senegal,"Yves Guena, Pierre Raynal","autorisant l'approbation d'un avenant a la convention entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique du Senegal tendant a eviter les doubles impositions et a etablir des regles d'assistance reciproque en matiere d'impots sur le revenu, d'impots sur les successions, de droits d'enregistrement et de droits de timbre, signee le 29 mars 1974 et modifiee par l'avenant du 16 juillet 1984",
495,convention entre la France et l'Islande,"Yves Guena, Pierre Raynal", autorisant l'approbation d'une convention entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique d'Islande en vue d'eviter les doubles impositions et de prevenir l'evasion fiscale en matiere d'impots sur le revenu (ensemble un protocole),
496,CONVENTION ESPECES MENACEES D'EXTINCTION,Claude-Gérard Marcus,oi  AUTORISANT L'APPROBATION D'UN AMENDEMENT A L'ARTICLE XI DE LA CONVENTION SUR LE COMMERCE INTERNATIONAL DES ESPECES DE FAUNE ET DE FLORE SAUVAGES MENACEES D'EXTINCTION,
497,CONVENTION EUROPEENNE SAUVEGARDE DES DROITS DE L’HOMME,Charles Pistre,AUTORISANT L'APPROBATION DU PROTOCOLE NO 8 A LA CONVENTION EUROPEENNE DE SAUVEGARDE DES DROITS DE L'HOMME ET DES LIBERTES ,
498,CONVENTION EUROPEENNE SUR LA TORTURE,"Pierre Garmendia, Jean-Pierre Bayle",ORISANT L'APPROBATION D'UNE CONVENTION EUROPEENNE POUR LA PREVENTION DE LA TORTURE ET DES PEINES OU TRAITEMENTS INHUMAINS OU DEGRADANTS,
499,CONVENTION FISCALE AVEC SAINT-PIERRE-ET-MIQUELON,"Maurice Pourchon, Josy Moinet",i  PORTANT APPROBATION DE LA CONVENTION FISCALE ENTRE L'ETAT ET LA COLLECTIVITE TERRITORIALE DE SAINT-PIERRE-ET-MIQUELON,
500,convention fiscale France-Nigeria,"Yves Guena, Jeanny Lorgeoux", de la convention entre le Gouvernement de la Republique francaise et le Gouvernement de la Republique federale du Nigeria en vue d'eviter les doubles impositions et de prevenir l'evasion fiscale en matiere d'impots sur le revenu et sur les gains en capital (ensemble un protocole),
501,CONVENTION FISCALE FRANCE-VENEZUELA,"Josy Moinet, Louise Moreau",AUTORISANT L'APPROBATION D'UN AVENANT A LA CONVENTION DU 4 OCTOBRE 1978 ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE LA REPUBLIQUE DU VENEZUELA AFIN D'EVITER LA DOUBLE IMPOSITION EN MATIERE DE TRANSPORT ,
502,CONVENTION FRANCE ETATS-UNIS IMPOTS SUR LE REVENU ET LA FORTUNE,"Pierre Croze, Michèle Alliot-Marie","SANT L'APPROBATION DE L'AVENANT D'UNE CONVENTION FISCALE DU 28 JUILLET 1967 ENTRE LA REPUBLIQUE FRANCAISE ET LES ETATS-UNIS D'AMERIQUE EN MATIERE D'IMPOTS SUR LE REVENU ET LA FORTUNE, FAIT A PARIS LE 16 JUIN 1988",
503,CONVENTION FRANCE-ALGERIE ENFANTS DE COUPLES MIXTES,Jean-Yves Le Déaut,RISANT L'APPROBATION D'UNE CONVENTION ENTRE LE GOUVERNEMENT DE LA REPUBLIQUE FRANCAISE ET LE GOUVERNEMENT DE LA REPUBLIQUE ALGERIENNE DEMOCRATIQUE ET POPULAIRE RELATIVE AUX ENFANTS ISSUS DE COUPLES MIXTES SEPARES FRANCO-ALGERIENS,
504,convention France-Australie sur les doubles impositions,"Jean-Marie Daillet, Yves Guena",oi  autorisant l'approbation d'un avenant modifiant la convention entre le Gouvernement de la Republique francaise et le Gouvernement de l'Australie tendant a eviter les doubles impositions et a prevenir l'evasion fiscale en matiere d'impots sur le revenu,
