,index,nom_depute,ministere_interrogem,date_publication,question
73,74,Mme Laurence Trastour-Isnart,Justice,16/01/2018,"Mme Laurence Trastour-Isnart attire l'attention de Mme la garde des sceaux, ministre de la justice, sur le projet de construction d'un centre pénitentiaire sur la rive droite du Var. En janvier 2017, le préfet des Alpes-Maritimes rejetait les sites des Iscles, à Saint-Laurent-du-Var. Le 16 décembre 2017 dans Nice-Matin, il affirme la rénovation de la maison d'arrêt de Nice-Centre et la création d'une maison d'arrêt en rive droite du Var sur le site de la Baronne. La création de ce projet fait l'objet de nombreuses objections de la part de tous les élus locaux concernés ainsi que de la population pour des raisons de sécurité, de fluidité de circulation et de rapidité de transfert ainsi que de remise en question des politiques d'aménagement du territoire lancées en plein cœur de l'Éco-Vallée. Une question écrite déposée le 1 octobre 2017 est restée sans réponse. Par conséquent, elle souhaite connaître l'état d'avancement de ce projet et s'il prend en compte l'ensemble des problématiques du site."
74,75,M. Éric Ciotti,Transports,16/01/2018,"M. Éric Ciotti attire l'attention de Mme la ministre, auprès du ministre d'État, ministre de la transition écologique et solidaire, chargée des transports, sur le réseau des infrastructures dans les Alpes maritimes. Le Président de la République et le Gouvernement ont décidé il y a plusieurs mois maintenant de sursoir à de nombreux projets d'infrastructures en renvoyant à des assises de la mobilité. Ce report est préoccupant alors que dans certains territoires comme les Alpes-Maritimes la mobilité devient de plus en plus problématique. Cela affecte non seulement la vie quotidienne des concitoyens mais aussi la compétitivité des entreprises, les accès à la principauté de Monaco ou au technopôle de Sophia-Antipolis étant de plus en plus dégradés pour plus de 70 000 actifs. Il y a pourtant des solutions concrètes. C'est ainsi que le département des Alpes-Maritimes, en étroite collaboration avec Escota, s'est mobilisé sur deux projets d'importance dont il a soutenu l'inscription au plan d'investissement autoroutier, initié par le précédent gouvernement mais non signé à ce jour malgré les annonces faites en la matière. Le projet de ligne de cars à haut niveau de service entre Nice et Sophia Antipolis permettrait d'augmenter la fiabilité et la rapidité d'une ligne essentielle pour des milliers d'actifs, ceci pour un coût contenu car s'appuyant sur la bande d'arrêt d'urgence. Dans sa réponse du 23 juillet 2015, Alain Vidalies, alors secrétaire d'État chargé des transports, avait lui-même confirmé tout l'intérêt de ce projet et autorisé Escota à en faire l'étude d'opportunité, étude réalisée en 2016 et qui conclue à sa faisabilité. De la même manière, la réalisation du quart d'échangeur de Beausoleil constitue un aménagement important pour lequel il a sollicité l'intervention du Premier ministre Manuel Valls par courrier du 27 avril 2015. Les fermetures quasi quotidiennes du tunnel de l'A500 principal accès à Monaco rendent la traversée de la Turbie particulièrement dangereuse et la mise en service d'un itinéraire alternatif devient urgente. Cette opération de 6.5 millions d'euros avait également été retenue dans le plan d'investissement autoroutier et est majoritairement financée par les collectivités locales et la principauté de Monaco. Il lui demande de bien vouloir lui indiquer dans quel délai le plan d'investissement sera signé afin d'autoriser Escota en collaboration avec les collectivités concernées à poursuivre la mise en œuvre de ces deux opérations routières, qui doivent en outre être confortées par un projet ferroviaire également déterminant pour les trajets du quotidien : la LN PACA, qui comporte un volet desserte TER de Sophia-Antipolis très important notamment, et dont le tracé et les modalités font aujourd'hui l'objet d'un soutien unanime localement. Il souhaite avoir la confirmation que ce projet sera bien inscrit dans le projet de loi d'orientation de la mobilité."
75,76,Mme Aude Luquet,Transition écologique et solidaire,16/01/2018,"Mme Aude Luquet attire l'attention de M. le ministre d'État, ministre de la transition écologique et solidaire, sur la traversée de poids lourds dans la ville de Melun et la forêt de Fontainebleau. Chaque jour plus de 90 000 véhicules, dont 4 000 poids lourds, empruntent cette route pour se rendre du nord de l'agglomération vers le sud et inversement. En ce qui concerne le trafic de transit, il est avéré que les poids lourds choisissent cet itinéraire pour éviter le péage des Éprunes qui pourtant leur permettrait de récupérer l'autoroute A6 via l'A5. Pour répondre à une logique purement financière, les poids lourds traversent ces zones urbaines et forestières, ce qui a des conséquences substantielles sur la qualité de l'air et de vie des habitants de Melun et de son agglomération. Cela constitue une menace pour la biodiversité de l'espace unique qu'est la forêt de Fontainebleau. En effet, le massif boisé de Fontainebleau recouvre plus de 25 000 hectares et dispose d'une renommée internationale en raison de son histoire, de ses caractéristiques naturelles et de son attrait touristique avec plus de 17 millions de visiteurs par an. Cette forêt, qui abrite une faune et une flore particulièrement riches et diversifiées, a été classée Réserve de Biosphère en 1998 et a rejoint en 2004 le réseau européen des sites Natura 2000. Forte de sa biodiversité, la forêt de Fontainebleau est un espace précieux qu'il faut préserver. Il apparaît, en conséquence, que la traversée de la ville de Melun et de la forêt de Fontainebleau par les poids lourds en transit, alors même que le réseau autoroutier permet un contournement, va à l'encontre de la préservation des espaces naturels et de la qualité de vie des habitants qui y résident. Elle lui demande ainsi d'interdire aux poids lourds en transit la traversée de la forêt de Fontainebleau dans la mesure où il existe des itinéraires et infrastructures de contournement."
76,77,Mme Justine Benin,Agriculture et alimentation,16/01/2018,"Mme Justine Benin alerte M. le ministre de l'agriculture et de l'alimentation sur le chlordécone, puissant pesticide considéré comme un polluant organique persistant, autrement dit non biodégradable, qui a été autorisé et utilisé pendant plus de 20 ans aux Antilles, principalement dans les bananeraies. Ce véritable fléau environnemental est aujourd'hui un problème de santé publique majeur : on le retrouve non seulement dans les sols, mais aussi dans les cours d'eau et les nappes phréatiques, la viande, le poisson, les fruits et légumes ; les cancers de la prostate, en Martinique et en Guadeloupe, ont significativement augmenté depuis le début des années 2000 plaçant ces territoires au triste premier rang mondial ; en outre, les pertes de 10 à 20 points de QI attestées par l'étude Timoun inquiètent très fortement pour l'avenir des générations futures d'Antillais. Malgré cette glaçante réalité, l'Union européenne annonçait, en 2013, sa décision d'augmenter de façon vertigineuse les limites maximales de résidus (LMR) de chlordécone dans les viandes consommées en Guadeloupe et en Martinique, sur proposition des autorités françaises. Ces limites maximales de résidus (LMR) sont les doses maximales selon lesquelles les autorités de santé estiment qu'il n'y a pas de risque si la consommation est normale. Elles sont ainsi passées de 20 microgrammes par kilo de poids frais à 100 microgrammes pour le bœuf, le porc ou le cabri et même à 200 microgrammes pour les volailles. Cette décision va à l'encontre des conclusions des dernières études scientifiques menées localement et du principe de précaution, qui prévaut pourtant pour les voisins européens. Du point de vue de la pollution globale par un puissant pesticide et du point de vue de la contamination généralisée de leur population, la Guadeloupe et la Martinique se trouvent ainsi - selon le professeur William Dab et le docteur Luc Multigner - dans une situation unique au monde, que rien ne saurait pourtant justifier. Les populations sont ainsi contraintes de planter et d'élever sur des sols très contaminés et de manger des récoltes elles-mêmes extrêmement contaminées. Ce combat vise donc à faire cesser l'exposition des populations antillaises au chlordécone afin que chacun puisse consommer des produits locaux sains. Comme M. le ministre l'aura compris, ce combat est celui de la sécurité alimentaire et de la santé des concitoyens. Mme la députée n'ose penser que le retentissement politique et médiatique aurait été très différent si cette situation inédite se déroulait sur le territoire hexagonal. Elle n'ose penser que cette décision est le fruit du travail assidu des lobbies et d'une quelconque volonté de sacrifier des impératifs sanitaires sur l'autel de la recherche de profits économiques. Elle lui demande donc aujourd'hui, devant la représentation nationale, de rassurer les compatriotes antillais en exposant les mesures que le Gouvernent entend prendre, dans les plus brefs délais, pour enjoindre les autorités européennes à réviser ces LMR chlordécone de sorte que les populations antillaises soient traitées sur un pied d'égalité avec leurs compatriotes français et leurs voisins européens."
77,78,Mme Michèle de Vaucouleurs,Solidarités et santé,16/01/2018,"Mme Michèle de Vaucouleurs interroge Mme la ministre des solidarités et de la santé sur le projet de réorganisation du département de soins critiques déposé par le GHT Yvelines Nord. Le centre hospitalier intercommunal de Meulan-Les Mureaux traverse depuis plusieurs mois une période d'inquiétude. Il y a deux ans, le service d'oncologie a été fermé et transféré sur un autre établissement du groupement hospitalier territorial. La fermeture de ce service a contribué de fait à faire baisser les besoins en réanimation et l'ARS avait autorisé depuis un fonctionnement dérogatoire de ce service à 6 lits de réanimation et 4 en unité de surveillance continue. L'ARS avait annoncé en septembre 2017 que le service de réanimation devait fermer à la fin du mois d'octobre. Depuis, un accord a été donné pour maintenir le service de réanimation dans l'état actuel de fonctionnement jusqu'au 31 janvier 2018. En vue de la poursuite des activités de réanimation sur le site, une demande d'autorisation d'activité de réanimation dans le cadre du département de soins critiques du GHT Yvelines nord a été sollicitée par la direction du GHT auprès de l'ARS. Cette demande vise à repenser l'équilibre des lits de réanimation et d'unité de surveillance continue, en optant pour une répartition différente sur l'ensemble du GHT. Un avis consultatif sera rendu le 25 janvier 2017 par la Commission spécialisée pour l'organisation des soins (CSOS). Cette nouvelle organisation rentre en adéquation avec l'article 35 du PLFSS pour 2018 visant à « permettre l'émergence d'organisations innovantes dans les secteurs sanitaire et médico-social ». Le centre hospitalier intercommunal de Meulan-Les Mureaux est composé de 495 lits, et emploie 1 200 personnels de santé. Il reçoit notamment le public situé en quartier prioritaire des Mureaux, et à ce titre contribue à l'égal accès aux soins d'un public rencontrant des difficultés de mobilité. L'hôpital s'est par ailleurs engagé sur un certain nombre de pratiques ou de projets qui sont en parfaite adéquation avec les objectifs qui sont fixés dans le cadre de l'article 35 et notamment un projet auquel il a répondu sur le lien médecine de ville-hôpital. L'ensemble des élus du secteur se sont mobilisés aux côtés des équipes soignantes pour le maintien de l'activité de réanimation sur le site. Elle lui demande s'il est possible d'autoriser l'organisation de lits à l'échelle du GHT et non plus de l'hôpital et en formalisant cette possibilité par un décret. Elle souhaite également connaître son avis sur le projet déposé en ce sens par le GHT Yvelines nord."
78,79,Mme Ericka Bareigts,Intérieur,16/01/2018,"Mme Ericka Bareigts interroge M. le ministre d'État, ministre de l'intérieur, sur la prise en compte par le ministère de l'intérieur des Centres des intérêts matériels et moraux (CIMM) comme priorités légales d'affectation pour les mutations de fonctionnaires ultramarins. En effet, afin de faciliter le retour des fonctionnaires ultramarins dans leurs collectivités d'origine, l'article 85 de la loi égalité réelle outre-mer (loi n° 2017-256), votée à l'unanimité à l'Assemblée nationale comme au Sénat, ajoute aux priorités statutaires fixées par l'article 60 de la loi du 11 janvier 1984 une priorité aux fonctionnaires qui justifient de CIMM dans une des collectivités régies par les articles 73 et 74 de la Constitution. Cette mesure a été confirmée par la circulaire du 1er mars 2017 relative au critère du CIMM. Or Mme la députée est régulièrement alertée de problèmes quant à la mise en œuvre de ces différentes mesures dans la politique de mobilité du ministère de l'intérieur et plus particulièrement pour les agents de la police nationale. Le ministère n'a toujours pas procédé à la bonification attendue des points : il y a donc urgence à ce que la commission technique se réunisse à ce sujet. En effet, en raison des départs en retraite et de la construction du commissariat de Saint-André, de nombreux postes seront à pourvoir. Il est d'ailleurs à noter que d'autres fonctionnaires - comme les membres des administrations fiscales ou les surveillants pénitentiaires - bénéficient déjà des CIMM. Il est donc urgent et nécessaire que le ministère de l'intérieur tienne pleinement compte des CIMM dans sa politique de mobilité, comme l'attendent vivement de nombreuses familles au sein du pays. Elle souhaiterait donc connaître ses intentions sur le sujet."
79,80,M. David Habib,Agriculture et alimentation,16/01/2018,"M. David Habib interroge M. le ministre de l'agriculture et de l'alimentation sur le nouveau zonage qui pourrait avoir un impact désastreux sur les exploitations des Pyrénées-Atlantiques, en particulier celles situées sur les territoires agricoles du nord du Béarn. Ces derniers se trouveraient ainsi pénalisés du fait de leurs caractéristiques propres : exploitations multiples, de petite taille, en polyculture élevage, valorisant des productions locales par les signes officiels de la qualité et de l'origine des points forts qui deviendraient des handicaps s'il s'agit d'appliquer des critères d'extensivité ou de revenu moyen à l'hectare par zone. Rappelons que le département des Pyrénées-Atlantiques figure au 80ème rang en termes de revenu par actif agricole. Il lui demande de bien vouloir prendre en compte les territoires de coteaux, particulièrement fragilisés, dans la liste des critères qui seront finalement retenus. Ces territoires, déjà lésés par la PAC, ne peuvent prendre d'autres orientations que l'élevage. L'indemnité compensatoire de handicaps naturels représente entre 7 000 et 9 000 euros d'aides pour ces exploitations d'élevage. Le nouveau zonage constituerait donc un enjeu majeur pour l'ensemble de l'économie agricole béarnaise. Le ministre a annoncé vouloir transmettre des propositions définitives à la Commission européenne au mois de mars 2018. Aussi, en cette période de poursuite et de finalisation des travaux sur le zonage, il souhaite que soient prises en compte les communes couvertes par les petites régions agricoles suivantes : Vallée du Gave d'Oloron, Coteaux entre les Gaves, Coteaux du Béarn, Chalosse, Vic Bilh. Il est capital pour les territoires agricoles de conserver l'orientation de l'ICHN comme une mesure structurante pour l'élevage dans les milieux difficiles. L'État doit maintenir ses engagements, prendre toute sa part dans ce financement et défendre les intérêts des éleveurs à Bruxelles. Il souhaiterait donc connaître ses intentions sur ces questions."
80,81,M. Olivier Véran,Économie et finances,16/01/2018,"M. Olivier Véran attire l'attention de M. le ministre de l'économie et des finances sur un projet de création de SICAV régionales afin de soutenir la croissance des PME. Le financement des PME est aujourd'hui très lié au crédit bancaire, le financement par le capital et par les marchés est trop peu développé en France. La demande existe pourtant, elle progresse, mais l'offre manque encore. Le caractère local d'un tel dispositif donnerait du sens à l'épargne des Français qui verraient un effet direct sur leur tissu économique régional. Grâce aux garanties régionales et européennes et à une diversification des valeurs mobilières, il s'agirait d'un produit grand public assurant un risque faible et un ciblage au moins partiel sur les PME. Ces SICAV régionales pourraient être alimentées en partie par l'épargne salariale et l'assurance-Vie et leur mise en œuvre pourrait être assurée par la BPI, acteur crédible et indépendant. Une SICAV d'un milliard d'euros par an et par région signifierait plus de 1 000 PME aidées dans chaque région, et ne représenterait que 0,6 % de la collecte de l'assurance-vie au niveau national. Il lui demande ce qu'il pense de la mise en place d'un tel dispositif et comment l'État pourrait l'accompagner, au moins à titre expérimental dans une ou plusieurs régions pilotes."
81,82,M. Pierre Cabaré,Travail,16/01/2018,"M. Pierre Cabaré attire l'attention de Mme la ministre du travail sur deux enjeux majeurs qui conditionnent le développement de l'apprentissage que sont l'orientation et la sécurisation des parcours. Un accompagnement et une préparation à l'entrée dans l'apprentissage contribueront à répondre à ces préoccupations et il est essentiel, dans le cadre de la réforme qui s'engage, de prévoir des dispositifs qui permettront notamment de prévenir les ruptures de contrat d'apprentissage encore trop nombreuses. L'apprentissage est une voie de formation d'excellence qui offre des parcours de réussite professionnelle et sociale. Pour que les apprentis bénéficient pleinement de ces formations et s'y engagent dans les meilleures conditions, confirmant ainsi l'orientation choisie vers un métier, un accompagnement doit leur être proposé. À cet effet, un sas de préparation à l'apprentissage en CFA, pourrait être créé pour tout public (scolaire, demandeur d'emploi, public en reconversion...) à partir de 15 ans et sans limite d'âge. D'une durée de quelques semaines à un an maximum en fonction de la situation de la personne, ce sas contribuerait à une mise à niveau éventuelle des connaissances, du savoir-être, une découverte des entreprises et du secteur de l'artisanat et une confirmation du projet professionnel. Ce sas de préparation à l'apprentissage permettra également d'accueillir les publics en rupture de contrat ou désireux de se réorienter à l'issue d'une première expérience. Ce dispositif d'accompagnement favorisera également l'engagement des entreprises dans la signature de contrats d'apprentissage. Il lui demande donc si elle entend réserver une suite favorable à cette proposition qui renforcera l'apprentissage en France et soutiendra son développement que le Gouvernement appelle de ses vœux."
82,83,Mme Stéphanie Rist,"Enseignement supérieur, recherche et innovation",16/01/2018,"Mme Stéphanie Rist attire l'attention de Mme la ministre de l'enseignement supérieur, de la recherche et de l'innovation, sur la situation très préoccupante de la région Centre-Val de Loire en termes d'accès aux soins. La région présente en effet la densité la plus faible de France pour les médecins généralistes et une densité bien inférieure à la moyenne nationale aussi bien pour les médecins spécialistes que pour les professionnels de santé. Cela constitue de plus en plus un problème de santé publique, mais aussi d'attractivité du territoire. Les mesures présentées dans le cadre du plan santé apportent en partie des solutions à court ou moyen terme. Mais la question demande également une gestion en amont. Elle lui demande si elle compte agir sur l'attractivité médicale du territoire en ouvrant davantage de place en internat dans la région, afin de favoriser la formation et l'installation de jeunes médecins sur place. Elle lui demande également si elle envisage l'accès à davantage d'étudiants aux études de médecine au terme de la PACES pour le territoire."
83,84,M. Jean-Luc Fugit,Transports,16/01/2018,"M. Jean-Luc Fugit interroge Mme la ministre, auprès du ministre d'État, ministre de la transition écologique et solidaire, chargée des transports, au sujet de la problématique de la mobilité entre les agglomérations stéphanoise et lyonnaise. La mobilité est un élément essentiel de la qualité de vie et les citoyens ont des exigences en la matière. Nombreux sont ceux qui souhaitent que la situation actuelle s'améliore afin d'améliorer les déplacements quotidiens et d'accompagner le développement économique des territoires dans toutes ses dimensions (incluant la question de l'agriculture de proximité). Si la construction de nouvelles infrastructures à fort impact environnemental et financier ne parait pas pertinente, il semble nécessaire que l'État contribue auprès des collectivités territoriales à améliorer les infrastructures existantes, qu'il s'agisse de la ligne TER qui manque d'ambition, de l'autoroute A47, du pont de Givors particulièrement sous-dimensionné et mal intégré dans son environnement. Il l'interroge sur l'opportunité de faire de ce territoire un terrain d'expérimentations alliant des solutions innovantes à très faible impact environnemental en matière de développement de transports collectifs et de nouvelles pratiques professionnelles à imaginer autour des incitations à développer le télétravail et l'implantation de centres de coworking en milieu rural et périurbain, dans le but de limiter les déplacements du quotidien."
84,85,M. Éric Girardin,Intérieur,16/01/2018,"M. Éric Girardin appelle l'attention de M. le ministre d'État, ministre de l'intérieur, sur la circonscription de sécurité publique d'Epernay qui couvre 30 000 habitants et traite 3 500 dossiers par an. La capitale du Champagne accueille des centaines de milliers de touristes venus visiter ses grandes maisons, ses vignes et ses caves. Compte tenu de l'évolution urbaine, il est probable que la zone de police soit étendue dans les prochaines années. Le commissariat actuel compte 78 fonctionnaires. Malheureusement, le commissariat est très vétuste, il a été aménagé dans une maison du XIXème siècle dont la configuration ne permet pas d'accueillir le public et de travailler dans de bonnes conditions. Il accumule les problèmes importants : fuite d'eau, chaudière en panne et cela donne une image négative de la police nationale. Des problèmes de sécurité et de fonctionnalité importants se posent. Des travaux de rénovation ou d'amélioration de l'existant ont lieu régulièrement mais ces locaux ne sont pas du tout adaptés à cette activité de sécurité publique et à l'accueil du public. La rénovation du commissariat a un coût proche de la reconstruction (6,1 millions d'euros de travaux de rénovation contre 6,4 millions pour une construction d'un nouvel équipement qui sera plus fonctionnel). La reconstruction devrait donc être privilégiée. En termes de sécurité, la configuration des locaux ne permet pas de disposer d'une vraie armurerie. Les armes sont stockées dans une armoire sécurisée à proximité de l'entrée du commissariat et du public. Des manipulations d'armes ont lieu trois fois par jour dans une salle exiguë et mal adaptée. Compte tenu des menaces terroristes et du fait qu'Epernay est une ville très touristique, cette situation est dangereuse et aucune solution ne peut être trouvée avec les locaux actuels. De même, les cellules de garde à vue sont installées en rez-de-chaussée mais elles se situent à plus de 30 mètres des gardiens, ce qui pose de très grandes difficultés pour surveiller les personnes. Sur les conditions d'accueil du public, l'exiguïté des locaux ne permet pas de recevoir le public dans de bonnes conditions, ni d'auditionner les personnes interpellées dans des conditions de confidentialité. Le manque d'espaces crée aussi de nombreuses difficultés dans le fonctionnement quotidien du commissariat. Des salles ont été transformées en lieux de stockage où on mixe les usages : entretien des armes et stockage de matériel. Afin d'optimiser l'espace, beaucoup d'agents de police ont leur bureau dans les combles aménagés de la maison. En période de forte chaleur, la température rend les conditions de travail épouvantables et inacceptables. Outre tous ces éléments, le coût de reconstruction pourrait être réduit, d'une part, par la revente du foncier actuel à proximité de l'avenue de Champagne et devrait rapporter une somme non négligeable à l'État compte tenu de sa localisation et du développement économique actuel d'Epernay. D'autre part, le coût serait également minoré par la mise à disposition gracieuse d'un terrain par la ville d'Epernay. Il lui demande la construction d'un nouveau commissariat et son inscription dans la prochaine programmation 2018-2020."
85,86,Mme Jacqueline Dubois,Solidarités et santé,16/01/2018,"Mme Jacqueline Dubois attire l'attention de Mme la ministre des solidarités et de la santé sur la situation des EHPAD (établissements d'hébergement pour personnes âgées dépendantes) sur l'ensemble du territoire national et dans le département de la Dordogne en particulier. Ces établissements souffrent d’un manque de personnel qui affecte leur bon fonctionnement et remet en question la qualité de l'accompagnement de la dépendance ou la garantie pour les aînés de bénéficier de soins médicaux adaptés. Malgré leur grand dévouement, les personnels ne sont souvent pas en mesure de mener à bien leur mission. Alors que la société est vieillissante, la prise en charge des aînés ne peut pas être défaillante. C'est un défi que nous devons relever dès maintenant, et cela nécessite de réétudier le problème : coût pour les résidents, augmentation du nombre de places d'accueil et surtout le taux effectif d'encadrement. Elle lui demande de lui préciser les leviers d'action envisagés pour permettre l'accompagnement que méritent les personnes âgées dépendantes en EHPAD."
86,87,Mme Marie-Ange Magne,Transports,16/01/2018,"Mme Marie-Ange Magne appelle l'attention de Mme la ministre, auprès du ministre d'État, ministre de la transition écologique et solidaire, chargée des transports, sur le désenclavement de la Haute-Vienne. Le 1er juillet 2017, lors de l'inauguration de la ligne LGV Paris-Rennes, le Président de la République a indiqué qu'il entendait mettre la priorité sur « les transports du quotidien » plutôt que sur des nouveaux grands projets tels que la LGV. Il a affirmé son souhait de « financer le renouvellement de [nos] infrastructures » qui sont insuffisamment entretenues. Il est important de souligner que certaines installations sont aujourd'hui particulièrement dangereuses : la ligne POLT ou encore la RN147, lesquelles desservent (tant bien que mal) le département de la Haute-Vienne, en sont de parfaits exemples. Les gouvernements précédents n'ont pas tenu toutes les promesses de sécurisation et de renouvellement de ces infrastructures. En 2017, alors que ces axes font débat depuis plusieurs dizaines d'années, les conséquences pour le territoire de la Haute-Vienne sont particulièrement inquiétantes pour ce qui concerne la création, le maintien et l'accès à l'emploi. Faute d'être convenablement reliée aux capitales nationale et régionale, la Haute-Vienne doit faire face à un défaut d'attractivité qui entraîne un sentiment de relégation chez la population. À l'intérieur du territoire, les déplacements sont particulièrement contraints avec des trains qui ne circulent pas, qui sont en retard et inconfortables, et enfin, une route nationale mortifère. À cela, s'ajoutent par ailleurs les conséquences de la loi NOTRe et la fusion des régions qui, à défaut d'anticipation de ce phénomène, entraîne un déclassement du territoire. Sont d'ores et déjà observés des départs de services dans la grande métropole, notamment pour ce qui concerne les services décentralisés et déconcentrés de l'État, lesquels entraînent le départ des cadres et des personnes diplômées. Une paupérisation de l'ancienne capitale régionale, Limoges, et des communes des alentours est déjà constatée. Au-delà de l'éternel problème des financements, il nous faut donc aujourd'hui travailler à réduire les lenteurs administratives, dépasser les déceptions et surmonter les clivages entre les élus locaux pour engager les actions indispensables à la sauvegarde des régions. Il est entendu que la course à la vitesse n'est plus la priorité du Gouvernement. Néanmoins, le désenclavement des territoires, qu'ils soient urbains ou ruraux, doit être un engagement ferme et respecté de ce quinquennat. Elle lui demande par conséquent d'expliquer quelle sera l'action du Gouvernement, en lien avec les collectivités locales, pour mettre fin à la problématique d'enclavement particulièrement inquiétante pour le territoire de la Haute-Vienne."
87,88,M. Denis Masséglia,Économie et finances,16/01/2018,"M. Denis Masséglia interroge M. le ministre de l'économie et des finances sur les disparités fiscales au sein de l'Union européenne pour les grandes entreprises. En effet, nous apprenons régulièrement que de grands groupes étrangers parviennent à échapper à des montants considérables d'impôts sur le territoire français, en implantant leur siège dans des pays membres de l'Union européenne pratiquant une fiscalité extrêmement attractive pour ces grandes sociétés. En conséquence, leur activité économique générant des revenus très importants sur le sol français n'engendrent que des sommes dérisoires recouvrées eu égard aux sommes en jeu. Il ne s'agit pas là de fraude ou d'évasion fiscale mais bien d'optimisation à laquelle se prêtent des sociétés étrangères, en se jouant des failles juridiques et des disparités béantes en matière de fiscalité. Comment peut-on laisser les entreprises et les commerces payer des impôts sur leurs bénéfices importants alors même que des sociétés étrangères leur livrant une concurrence directe s'y soustraient en très grande partie pour des montants allant parfois jusqu'à plusieurs milliards d'euros ? Cette situation n'est pas tolérable, nous devons harmoniser les politiques fiscales afin que partout sur le territoire européen les entreprises paient ce qu'elles doivent là où elles ont une activité et des revenus. Il l'interroge donc sur les mesures qu'il compte mettre en œuvre avec ses homologues européens pour rétablir une harmonie et une justice fiscale cohérentes au sein de l'Union européenne."
88,89,M. Christophe Blanchet,Économie et finances,16/01/2018,"M. Christophe Blanchet alerte M. le ministre de l'économie et des finances sur la situation des casinos du Calvados. Certains traversent en effet une phase difficile, sortant juste de plusieurs années de vache maigre. Or la reprise du tourisme au niveau national, et dans la circonscription en particulier, ne profite que peu aux casinos. Si les plus gros d'entre eux survivent tant bien que mal, les plus petits connaissent une situation financière de réelle précarité qui peut s'apparenter à celle des éleveurs, qui travaillent toute l'année sans parvenir à se verser de salaire. La réalité des casinotiers est bien différente de l'image préconçue qu'en ont les Français : il s'agit avant tout d'hommes et de femmes qui exercent une profession extrêmement réglementée pour offrir un divertissement de qualité aux citoyens, et non de lieux de perdition brassant des millions d'argent sale. Après la récente publication du rapport d'information sur la mise en œuvre des conclusions du rapport d'information du 8 février 2017 sur l'évaluation de la régulation des jeux d'argent et de hasard du comité d'évaluation et de contrôle des politiques publiques, il lui demande quelle sont les pistes de réflexion du Gouvernement pour améliorer le sort des casinos."
89,90,M. Sébastien Nadot,Sports,16/01/2018,"M. Sébastien Nadot attire l'attention de Mme la ministre des sports sur l'importance de la société civile dans l'organisation des Jeux olympiques et paralympiques de 2024. Du 27 janvier au 3 février 2018, tous les élèves de la maternelle au lycée pourront participer à la semaine olympique et paralympique. Cette opération permet d'associer des pratiques physiques et sportives à l'éducation morale et civique. C'est l'occasion de travailler des thématiques telles que le fair-play, les valeurs du sport et de l'olympisme ou encore de l'égalité, de la santé et l'inclusion des élèves en situation de handicap. Cette très belle initiative est destinée au public scolaire. Fortes de plus de 3 millions d'adhérents, présentes sur tous les territoires avec leurs 21 000 associations, les fédérations affinitaires et multisports sont aujourd'hui un maillon essentiel du développement d'activités physiques et sportives (APS) adaptées pour tous les publics. Du loisir à la compétition, du plaisir au bien-être, de l'éducation à l'inclusion sociale, de la solidarité à la citoyenneté, elles coopèrent avec les collectivités territoriales et les associations de quartier notamment pour accueillir toutes les populations, au plus près de leurs besoins dans la diversité, quelles que soient leurs attentes, dans un cadre associatif dynamique et responsable. Comment compte-t-il associer les fédérations affinitaires et multisports, représentantes de la société civile, à ce grand événement que représentent les Jeux olympiques et paralympiques de 2024 ? Il lui demande comment il compte faire de ces jeux des jeux pour tous les territoires, des jeux qui servent de levier à une augmentation de la pratique sportive des Françaises et des Français."
90,91,Mme Amélie de Montchalin,Transports,16/01/2018,"Mme Amélie de Montchalin attire l'attention de Mme la ministre, auprès du ministre d'État, ministre de la transition écologique et solidaire, chargée des transports, sur la réalisation de la ligne 18 du Grand Paris Express allant d'Orly à Versailles, en passant par Saclay. La construction de la ligne sur son tronçon est est tout d'abord cruciale pour le succès et la rentabilité des investissements prévus pour le projet universitaire de Paris-Saclay, auquel le Président de la République a réitéré son soutien lors de sa visite sur le Plateau de Saclay le 25 octobre 2017. Cette nouvelle ligne est essentielle pour désengorger les infrastructures actuelles de transports permettant d'accéder aux lieux d'études et centres de recherche du plateau, qui restent sous-dimensionnés par rapport au développement économique et au rythme de construction de logements résidentiels et étudiants. La réalisation du tronçon ouest est également nécessaire pour assurer un développement équilibré de long terme du Plateau de Saclay : d'une part en le reliant aux deux pôles de Saint-Quentin-en-Yvelines et Versailles-Satory qui concentrent grands groupes, industries de pointe et de centres de recherche ; d'autre part en réduisant la pression foncière qui pourrait à terme menacer la zone de protection naturelle, agricole et forestière (ZPNAF) de 2 470 hectares autour de Saclay. Le plateau de Saclay a en effet, au-delà de son activité de recherche de pointe, une vocation agricole et environnementale importante. Dans ce cadre, l'enfouissement du tronçon ouest pourrait être réétudié sérieusement afin d'assurer son acceptabilité et sa pérennité. Des options concrètes de financement ont été proposées. Elle lui demande ainsi si elle peut informer quelles sont les options envisagées par le Gouvernement concernant la réalisation de ce projet d'aménagement majeur pour un territoire, s'étalant d'Orly aux portes de Versailles, que la ligne 18 pourrait enfin unifier sans le dénaturer."
